Código,Nombre,Definición,Ejemplos de evidencia,Notas de codificación
C01,Cierre sin evidencia suficiente,El PR fue cerrado sin una razón técnica explícita o verificable en la evidencia disponible.,"solo se observa cierre, cierre silencioso, rama eliminada, falta de aceptación explícita o ausencia de comentario explicativo.","No usar: No usar si existe una causa técnica/procesual explícita: CI fallida, reemplazo, política, diseño, seguridad, etc. Regla: Si la evidencia está visible pero no explica el cierre, usar esta categoría. Frecuencia final: 10."
C02,Causa no determinable,La información disponible no permite inferir una causa de rechazo o cierre con suficiente sustento.,Usar solo cuando no hay señales mínimas para sostener otra categoría.,No usar: No usar como categoría por defecto ante cierres silenciosos; para eso usar C01. Regla: Categoría conservadora para evidencia incompleta o contradictoria. Frecuencia final: 0.
C03,Fuente no disponible,No se puede verificar la razón porque la fuente primaria no está disponible o no es accesible.,"Usar ante 404, repositorio privado, PR eliminado o evidencia principal inaccesible.",No usar: No usar si el PR es accesible pero no tiene explicación suficiente. Regla: Distingue ausencia de acceso de ausencia de explicación. Frecuencia final: 1.
C04,Falla de CI/CD,"El PR se rechaza o cierra por fallas en workflows, pipelines, tests, lint, build, dependencias, entorno, quality gates o checks automáticos.",hay evidencia de check fallido o validación automática rota.,"No usar: No usar para decisiones humanas de diseño, seguridad, política o validación insuficiente sin falla concreta. Regla: Incluye fallas técnicas de integración continua y despliegue automatizado. Frecuencia final: 92."
C05,Reemplazado o duplicado,"El PR fue cerrado porque otro PR, rama, commit o implementación alternativa cubrió el mismo cambio.","aparece reemplazado por, duplicado, cubierto por otro PR, cerrado a favor de otro intento o mantenedor aplicó solución alternativa.",No usar: No usar si solo se menciona una posible reimplementación futura. Regla: El reemplazo explícito prevalece sobre problemas secundarios. Frecuencia final: 33.
C06,Abandono o iteración incompleta,"El PR se abandona durante revisión, queda con feedback pendiente, cambios solicitados no resueltos, inactividad o trabajo incompleto.",hay proceso iterativo visible y el cierre ocurre por falta de avance/resolución.,"No usar: No usar para cierre inicial sin revisión; usar C01. Regla: Requiere evidencia de iteración, revisión o abandono. Frecuencia final: 6."
C07,"Conflicto, rebase o historial de ramas","El cierre se relaciona con conflicto de merge, rebase, cambio de rama base, force-push o historial difícil de revisar.",el problema central es la integración de ramas/historial.,No usar: No usar si el conflicto deriva simplemente en un PR alternativo explícito; usar C05. Regla: Categoría procesual/técnica de manejo de ramas. Frecuencia final: 11.
C08,Cambio demasiado amplio o difícil de revisar,"El PR es rechazado por tamaño, alcance, acumulación de cambios o dificultad de revisión.","Usar para diffs enormes, stacked PRs, muchos commits/archivos o refactors acumulados.",No usar: No usar para desacuerdo de diseño si el tamaño no es el problema. Regla: El criterio central es inviabilidad o alto costo de revisión. Frecuencia final: 9.
C09,Cambio obsoleto o superado por evolución del proyecto,"El cambio perdió vigencia porque el proyecto, arquitectura, rama o necesidad evolucionó.","el problema ya fue resuelto, el PR quedó stale/obsoleto o la arquitectura cambió.",No usar: No usar si existe PR alternativo concreto; usar C05. Regla: Distingue obsolescencia de reemplazo explícito. Frecuencia final: 2.
C10,Diagnóstico o solución incorrecta,"El PR aborda mal el problema, propone una solución inválida o se basa en una interpretación incorrecta.","Usar para fix incorrecto, diagnóstico errado, sintaxis inexistente, solución no reproducible o limitación/error del agente.",No usar: No usar cuando el problema principal es falta de pruebas sin evidencia de solución equivocada. Regla: Evalúa la validez técnica de la solución. Frecuencia final: 5.
C11,"Desacuerdo de diseño, alcance o comportamiento","El rechazo se debe a desacuerdo sobre arquitectura, diseño, comportamiento esperado, alcance funcional o costo/beneficio.",mantenedores rechazan el enfoque o consideran que el comportamiento/costo no corresponde.,No usar: No usar para fallas automáticas de CI ni políticas administrativas. Regla: Decisión humana de diseño/producto/arquitectura. Frecuencia final: 5.
C12,"Política, gobernanza o requisito administrativo","El PR no avanza por reglas de contribución, CLA, requisitos de revisión, bots, gates administrativos o políticas de merge.","Usar para CLA no firmada, revisión obligatoria omitida, restricciones de bot o reglas institucionales.",No usar: No usar para fallas técnicas del pipeline. Regla: Distingue gobernanza del proyecto de errores técnicos. Frecuencia final: 39.
C13,Riesgo de seguridad o permisos,"El cambio introduce o expone riesgos de seguridad, permisos excesivos, secretos o workflows privilegiados.","Usar para pull_request_target inseguro, secrets expuestos, permisos write o automatización privilegiada riesgosa.",No usar: No usar para security hotspots automáticos de quality gate; usar C04. Regla: Priorizar cuando el rechazo es por riesgo de seguridad. Frecuencia final: 7.
C14,Cambio experimental de toolchain o dependencias,"El PR migra, actualiza o experimenta con herramientas, runtimes, dependencias o frameworks de build/test.","el cambio se rechaza por riesgo, compatibilidad, alcance o madurez de la migración.","No usar: No usar si la razón principal es un check fallido concreto; usar C04. Regla: Captura cambios de infraestructura técnica no aceptados por decisión, no por falla automática. Frecuencia final: 21."
C15,"Cambio de release, publicación o despliegue no aceptado","El PR modifica procesos de release, versionado, publicación, despliegue o distribución y no es aceptado.",Usar para cambios operacionales de release/deploy/versionado rechazados.,No usar: No usar si el deploy falla técnicamente en CI; usar C04. Regla: Categoría operacional de publicación/despliegue. Frecuencia final: 9.
C16,Validación insuficiente o bloqueada,El PR no entrega evidencia de validación suficiente o la validación queda bloqueada/no concluyente.,"Usar para pruebas externas riesgosas, flakiness no resuelta, validación bloqueada por red/entorno o pruebas no representativas.",No usar: No usar cuando hay check fallido concreto; usar C04. Regla: Distingue falta de evidencia de falla concreta. Frecuencia final: 5.
